address,size,name,status,owner
0x100024,28,FUN_00100024,todo,
0x100048,3456,FUN_00100048,todo,
0x100114,44,FUN_00100114,todo,
0x100148,68,FUN_00100148,todo,
0x100194,24,FUN_00100194,todo,
0x1001ac,8,FUN_001001ac,todo,
0x1001b8,88,FUN_001001b8,todo,
0x100218,4,FUN_00100218,todo,
0x10021c,44,FUN_0010021c,todo,
0x100234,184,FUN_00100234,todo,
0x1002dc,28,FUN_001002dc,todo,
0x1002f8,224,FUN_001002f8,todo,
0x100324,212,FUN_00100324,todo,
0x100408,60,FUN_00100408,todo,
0x10044c,60,FUN_0010044c,todo,
0x100490,184,FUN_00100490,todo,
0x10054c,56,FUN_0010054c,todo,
0x100588,28,FUN_00100588,todo,
0x1005b8,36,FUN_001005b8,todo,
0x1005e0,16,FUN_001005e0,todo,
0x1005f4,144,FUN_001005f4,todo,
0x100608,88,FUN_00100608,todo,
0x100664,124,FUN_00100664,todo,
0x1006e0,164,FUN_001006e0,todo,
0x1007a8,96,FUN_001007a8,todo,
0x10080c,1068,FUN_0010080c,todo,
0x100d2c,16,FUN_00100d2c,todo,
0x100d40,16,FUN_00100d40,todo,
0x100d54,628,FUN_00100d54,todo,
0x100ffc,156,FUN_00100ffc,todo,
0x1010a8,280,FUN_001010a8,todo,
0x1011dc,476,FUN_001011dc,todo,
0x101438,132,FUN_00101438,todo,
0x1014c4,88,FUN_001014c4,todo,
0x101520,36,FUN_00101520,todo,
0x101544,24,FUN_00101544,todo,
0x10155c,112,FUN_0010155c,todo,
0x1015cc,124,FUN_001015cc,todo,
0x10164c,56,FUN_0010164c,todo,
0x101690,132,FUN_00101690,todo,
0x101714,60,FUN_00101714,todo,
0x10175c,12,FUN_0010175c,todo,
0x10176c,80,FUN_0010176c,todo,
0x1017c0,12,FUN_001017c0,todo,
0x1017d0,208,FUN_001017d0,todo,
0x1018b8,68,FUN_001018b8,todo,
0x101904,52,FUN_00101904,todo,
0x101940,72,FUN_00101940,todo,
0x10198c,188,FUN_0010198c,todo,
0x101a60,40,FUN_00101a60,todo,
0x101a88,356,FUN_00101a88,todo,
0x101c00,264,FUN_00101c00,todo,
0x101d14,52,FUN_00101d14,todo,
0x101d50,56,FUN_00101d50,todo,
0x101d8c,216,FUN_00101d8c,todo,
0x101e74,12,FUN_00101e74,todo,
0x101e84,16,FUN_00101e84,todo,
0x101e98,28,FUN_00101e98,todo,
0x101eb8,12,FUN_00101eb8,todo,
0x101ec8,52,FUN_00101ec8,todo,
0x101f00,576,FUN_00101f00,todo,
0x101f50,140,FUN_00101f50,todo,
0x101fe4,636,FUN_00101fe4,todo,
0x1023ec,164,FUN_001023ec,todo,
0x1024c4,324,FUN_001024c4,todo,
0x10261c,72,FUN_0010261c,todo,
0x10266c,76,FUN_0010266c,todo,
0x1026bc,304,FUN_001026bc,todo,
0x1027f8,76,FUN_001027f8,todo,
0x10284c,84,FUN_0010284c,todo,
0x1028a8,48,FUN_001028a8,todo,
0x1028e0,20,FUN_001028e0,todo,
0x1028f8,76,FUN_001028f8,todo,
0x10294c,56,FUN_0010294c,todo,
0x10298c,152,FUN_0010298c,todo,
0x102a28,88,FUN_00102a28,todo,
0x102a84,16,FUN_00102a84,todo,
0x102a94,252,FUN_00102a94,todo,
0x102b98,84,FUN_00102b98,todo,
0x102bec,344,FUN_00102bec,todo,
0x102e10,24,FUN_00102e10,todo,
0x102e28,36,FUN_00102e28,todo,
0x102e4c,24,FUN_00102e4c,todo,
0x102e64,24,FUN_00102e64,todo,
